en,ru,level,source
ability,способность,B1,User-provided list: b1-user.md
absent,отсутствующий,B1,User-provided list: b1-user.md
absolutely,абсолютно,B1,User-provided list: b1-user.md
accent,акцент,B1,User-provided list: b1-user.md
accept,принимать,B1,User-provided list: b1-user.md
acceptable,приемлемый,B1,User-provided list: b1-user.md
access,доступ,B1,User-provided list: b1-user.md
accommodation,жильё,B1,User-provided list: b1-user.md
accompany,сопровождать,B1,User-provided list: b1-user.md
according to,согласно,B1,User-provided list: b1-user.md
accountant,бухгалтер,B1,User-provided list: b1-user.md
accurate,точный,B1,User-provided list: b1-user.md
achieve,достигать,B1,User-provided list: b1-user.md
achievement,достижение,B1,User-provided list: b1-user.md
active,активный,B1,User-provided list: b1-user.md
actor,актёр,B1,User-provided list: b1-user.md
actually,на самом деле,B1,User-provided list: b1-user.md
advantage,преимущество,B1,User-provided list: b1-user.md
adventure,приключение,B1,User-provided list: b1-user.md
advertisement,реклама,B1,User-provided list: b1-user.md
affect,влиять,B1,User-provided list: b1-user.md
afford,позволить себе,B1,User-provided list: b1-user.md
aged,в возрасте,B1,User-provided list: b1-user.md
agent,агент,B1,User-provided list: b1-user.md
agreement,соглашение,B1,User-provided list: b1-user.md
aim,цель,B1,User-provided list: b1-user.md
alarm,"сигнализация, будильник",B1,User-provided list: b1-user.md
album,альбом,B1,User-provided list: b1-user.md
alcohol,алкоголь,B1,User-provided list: b1-user.md
amazed,изумлённый,B1,User-provided list: b1-user.md
ambition,амбиция,B1,User-provided list: b1-user.md
ambitious,амбициозный,B1,User-provided list: b1-user.md
analysis,анализ,B1,User-provided list: b1-user.md
announce,объявлять,B1,User-provided list: b1-user.md
announcement,объявление,B1,User-provided list: b1-user.md
annoyed,раздражённый,B1,User-provided list: b1-user.md
annual,ежегодный,B1,User-provided list: b1-user.md
anxiety,тревога,B1,User-provided list: b1-user.md
apologize,извиняться,B1,User-provided list: b1-user.md
application,"заявление, приложение",B1,User-provided list: b1-user.md
apply,подавать заявление,B1,User-provided list: b1-user.md
appointment,"встреча, запись",B1,User-provided list: b1-user.md
appreciate,ценить,B1,User-provided list: b1-user.md
approach,"подход, приближаться",B1,User-provided list: b1-user.md
appropriate,подходящий,B1,User-provided list: b1-user.md
argue,спорить,B1,User-provided list: b1-user.md
argument,"спор, аргумент",B1,User-provided list: b1-user.md
arrange,организовывать,B1,User-provided list: b1-user.md
arrangement,договорённость,B1,User-provided list: b1-user.md
assistant,помощник,B1,User-provided list: b1-user.md
atmosphere,атмосфера,B1,User-provided list: b1-user.md
attach,прикреплять,B1,User-provided list: b1-user.md
attention,внимание,B1,User-provided list: b1-user.md
attractive,привлекательный,B1,User-provided list: b1-user.md
average,средний,B1,User-provided list: b1-user.md
avoid,избегать,B1,User-provided list: b1-user.md
award,награда,B1,User-provided list: b1-user.md
aware,осведомлённый,B1,User-provided list: b1-user.md
background,"происхождение, фон",B1,User-provided list: b1-user.md
balance,баланс,B1,User-provided list: b1-user.md
ban,"запрещать, запрет",B1,User-provided list: b1-user.md
based,основанный,B1,User-provided list: b1-user.md
basic,основной,B1,User-provided list: b1-user.md
behave,вести себя,B1,User-provided list: b1-user.md
behaviour,поведение,B1,User-provided list: b1-user.md
benefit,"польза, преимущество",B1,User-provided list: b1-user.md
besides,кроме того,B1,User-provided list: b1-user.md
birth,рождение,B1,User-provided list: b1-user.md
blame,винить,B1,User-provided list: b1-user.md
block,блокировать,B1,User-provided list: b1-user.md
border,граница,B1,User-provided list: b1-user.md
breathe,дышать,B1,User-provided list: b1-user.md
breath,дыхание,B1,User-provided list: b1-user.md
brilliant,великолепный,B1,User-provided list: b1-user.md
budget,бюджет,B1,User-provided list: b1-user.md
calm,спокойный,B1,User-provided list: b1-user.md
campaign,кампания,B1,User-provided list: b1-user.md
cancel,отменять,B1,User-provided list: b1-user.md
career,карьера,B1,User-provided list: b1-user.md
cause,"причина, вызывать",B1,User-provided list: b1-user.md
challenge,"вызов, трудность",B1,User-provided list: b1-user.md
chance,шанс,B1,User-provided list: b1-user.md
character,"характер, персонаж",B1,User-provided list: b1-user.md
charge,"плата, заряжать",B1,User-provided list: b1-user.md
charity,благотворительность,B1,User-provided list: b1-user.md
choice,выбор,B1,User-provided list: b1-user.md
claim,"утверждать, требование",B1,User-provided list: b1-user.md
clue,подсказка,B1,User-provided list: b1-user.md
coach,тренер,B1,User-provided list: b1-user.md
colleague,коллега,B1,User-provided list: b1-user.md
comment,комментарий,B1,User-provided list: b1-user.md
communicate,общаться,B1,User-provided list: b1-user.md
community,сообщество,B1,User-provided list: b1-user.md
compete,соревноваться,B1,User-provided list: b1-user.md
competition,соревнование,B1,User-provided list: b1-user.md
complain,жаловаться,B1,User-provided list: b1-user.md
completely,полностью,B1,User-provided list: b1-user.md
concentrate,сосредотачиваться,B1,User-provided list: b1-user.md
conclusion,вывод,B1,User-provided list: b1-user.md
condition,"условие, состояние",B1,User-provided list: b1-user.md
confident,уверенный,B1,User-provided list: b1-user.md
confirm,подтверждать,B1,User-provided list: b1-user.md
connect,соединять,B1,User-provided list: b1-user.md
consider,"рассматривать, считать",B1,User-provided list: b1-user.md
contain,содержать,B1,User-provided list: b1-user.md
convenient,удобный,B1,User-provided list: b1-user.md
convince,убеждать,B1,User-provided list: b1-user.md
courage,смелость,B1,User-provided list: b1-user.md
crowded,переполненный,B1,User-provided list: b1-user.md
curious,любопытный,B1,User-provided list: b1-user.md
currently,в настоящее время,B1,User-provided list: b1-user.md
deal,иметь дело,B1,User-provided list: b1-user.md
decision,решение,B1,User-provided list: b1-user.md
decrease,уменьшаться,B1,User-provided list: b1-user.md
deep,глубокий,B1,User-provided list: b1-user.md
definitely,определённо,B1,User-provided list: b1-user.md
degree,"степень, градус",B1,User-provided list: b1-user.md
deliver,доставлять,B1,User-provided list: b1-user.md
demand,"требовать, спрос",B1,User-provided list: b1-user.md
department,отдел,B1,User-provided list: b1-user.md
describe,описывать,B1,User-provided list: b1-user.md
design,"дизайн, проектировать",B1,User-provided list: b1-user.md
destination,место назначения,B1,User-provided list: b1-user.md
detail,деталь,B1,User-provided list: b1-user.md
develop,развивать,B1,User-provided list: b1-user.md
development,развитие,B1,User-provided list: b1-user.md
device,устройство,B1,User-provided list: b1-user.md
disadvantage,недостаток,B1,User-provided list: b1-user.md
disappointed,разочарованный,B1,User-provided list: b1-user.md
distance,расстояние,B1,User-provided list: b1-user.md
divide,делить,B1,User-provided list: b1-user.md
document,документ,B1,User-provided list: b1-user.md
donate,жертвовать,B1,User-provided list: b1-user.md
double,"двойной, удваивать",B1,User-provided list: b1-user.md
download,скачивать,B1,User-provided list: b1-user.md
dramatic,драматичный,B1,User-provided list: b1-user.md
earn,зарабатывать,B1,User-provided list: b1-user.md
education,образование,B1,User-provided list: b1-user.md
effect,"эффект, влияние",B1,User-provided list: b1-user.md
effort,усилие,B1,User-provided list: b1-user.md
either,любой из двух,B1,User-provided list: b1-user.md
elderly,пожилой,B1,User-provided list: b1-user.md
emergency,чрезвычайная ситуация,B1,User-provided list: b1-user.md
employee,сотрудник,B1,User-provided list: b1-user.md
employer,работодатель,B1,User-provided list: b1-user.md
encourage,поощрять,B1,User-provided list: b1-user.md
energy,энергия,B1,User-provided list: b1-user.md
