en,ru,level,source,source_url
consider,рассматривать,ungraded,WikDict,https://en.wiktionary.org/wiki/consider
minute,крошечный,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
accord,согласие,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
evident,очевидный,ungraded,WikDict,https://en.wiktionary.org/wiki/evident
practice,практика,ungraded,WikDict,https://en.wiktionary.org/wiki/practice
intend,намереваться,ungraded,WikDict,https://en.wiktionary.org/wiki/intend
concern,касаться,ungraded,WikDict,https://en.wiktionary.org/wiki/concern
commit,совершать,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
issue,вопрос,ungraded,WikDict,https://en.wiktionary.org/wiki/issue
approach,приближаться,ungraded,WikDict,https://en.wiktionary.org/wiki/approach
establish,установить,ungraded,WikDict,https://en.wiktionary.org/wiki/establish
utter,полный,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
conduct,вести,ungraded,WikDict,https://en.wiktionary.org/wiki/conduct
engage,занимать внимание,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
obtain,добывать,ungraded,WikDict,https://en.wiktionary.org/wiki/obtain
scarce,скудный,ungraded,WikDict,https://en.wiktionary.org/wiki/scarce
policy,политический курс,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
straight,подряд,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
stock,акционерный капитал,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
apparent,очевидный,ungraded,WikDict,https://en.wiktionary.org/wiki/apparent
property,свойство,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
fancy,воображать,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
concept,концепция,ungraded,WikDict,https://en.wiktionary.org/wiki/concept
court,суд,ungraded,WikDict,https://en.wiktionary.org/wiki/court
appoint,назначать,ungraded,WikDict,https://en.wiktionary.org/wiki/appoint
passage,отрывок,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
vain,бесплодный,ungraded,WikDict,https://en.wiktionary.org/wiki/vain
instance,случай,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
coast,побережье,ungraded,WikDict,https://en.wiktionary.org/wiki/coast
project,план,ungraded,WikDict,https://en.wiktionary.org/wiki/project
commission,комиссия,ungraded,WikDict,https://en.wiktionary.org/wiki/commission
constant,константа,ungraded,WikDict,https://en.wiktionary.org/wiki/constant
circumstances,обстоятельства,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
constitute,составлять,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
level,уровень,ungraded,WikDict,https://en.wiktionary.org/wiki/level
affect,влиять,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
institute,учреждать,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
render,придавать,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
appeal,привлекать,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
generate,генерировать,ungraded,WikDict,https://en.wiktionary.org/wiki/generate
theory,теория,ungraded,WikDict,https://en.wiktionary.org/wiki/theory
range,ассортимент,ungraded,WikDict,https://en.wiktionary.org/wiki/range
campaign,кампания,ungraded,WikDict,https://en.wiktionary.org/wiki/campaign
league,лига,ungraded,WikDict,https://en.wiktionary.org/wiki/league
labor,труд,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
confer,совещаться,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
grant,предоставлять,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
dwell,подробно останавливаться,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
entertain,забавлять,ungraded,WikDict,https://en.wiktionary.org/wiki/entertain
contract,договор,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
earnest,серьёзный,ungraded,WikDict,https://en.wiktionary.org/wiki/earnest
yield,приносить,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
wander,блуждать,ungraded,WikDict,https://en.wiktionary.org/wiki/wander
insist,настаивать,ungraded,WikDict,https://en.wiktionary.org/wiki/insist
knight,рыцарь,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
convince,убеждать,ungraded,WikDict,https://en.wiktionary.org/wiki/convince
inspire,вдохновлять,ungraded,WikDict,https://en.wiktionary.org/wiki/inspire
convention,обычай,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
skill,умение,ungraded,WikDict,https://en.wiktionary.org/wiki/skill
harry,изводить,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
financial,финансовый,ungraded,WikDict,https://en.wiktionary.org/wiki/financial
reflect,отражать,ungraded,WikDict,https://en.wiktionary.org/wiki/reflect
novel,новый,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
furnish,предоставлять,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
compel,заставлять,ungraded,WikDict,https://en.wiktionary.org/wiki/compel
venture,отваживаться,ungraded,WikDict,https://en.wiktionary.org/wiki/venture
territory,территория,ungraded,WikDict,https://en.wiktionary.org/wiki/territory
temper,нрав,ungraded,WikDict,https://en.wiktionary.org/wiki/temper
bent,склонность,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
intimate,близкий,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
undertake,предпринимать,ungraded,WikDict,https://en.wiktionary.org/wiki/undertake
majority,большинство,ungraded,WikDict,https://en.wiktionary.org/wiki/majority
assert,отстаивать,ungraded,WikDict,https://en.wiktionary.org/wiki/assert
crew,экипаж,ungraded,WikDict,https://en.wiktionary.org/wiki/crew
chamber,комната,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
humble,скромный,ungraded,WikDict,https://en.wiktionary.org/wiki/humble
scheme,план,ungraded,WikDict,https://en.wiktionary.org/wiki/scheme
keen,острый,ungraded,WikDict,https://en.wiktionary.org/wiki/keen
liberal,щедрый,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
despair,безнадёжность,ungraded,WikDict,https://en.wiktionary.org/wiki/despair
tide,прилив,ungraded,WikDict,https://en.wiktionary.org/wiki/tide
attitude,отношение,ungraded,WikDict,https://en.wiktionary.org/wiki/attitude
justify,оправдывать,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
flag,флаг,ungraded,WikDict,https://en.wiktionary.org/wiki/flag
merit,заслуживать,ungraded,WikDict,https://en.wiktionary.org/wiki/merit
manifest,очевидный,ungraded,WikDict,https://en.wiktionary.org/wiki/manifest
notion,понятие,ungraded,WikDict,https://en.wiktionary.org/wiki/notion
scale,масштаб,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
formal,формальный,ungraded,WikDict,https://en.wiktionary.org/wiki/formal
resource,запас,ungraded,WikDict,https://en.wiktionary.org/wiki/resource
persist,упорствовать,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
contempt,презрение,ungraded,WikDict,https://en.wiktionary.org/wiki/contempt
tour,тур,ungraded,WikDict,https://en.wiktionary.org/wiki/tour
plead,защищать,ungraded,WikDict,https://en.wiktionary.org/wiki/plead
weigh,взвешивать,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
mode,способ,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
distinction,различие,ungraded,WikDict,https://en.wiktionary.org/wiki/distinction
inclined,предрасположенный,ungraded,WikDict,https://en.wiktionary.org/wiki/inclined
attribute,свойство,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
exert,прилагать,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
oppress,притеснять,ungraded,WikDict,https://en.wiktionary.org/wiki/oppress
contend,соперничать,ungraded,WikDict,https://en.wiktionary.org/wiki/contend
stake,доля участия,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
toil,труд,ungraded,WikDict,https://en.wiktionary.org/wiki/toil
perish,погибать,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
disposition,нрав,ungraded,WikDict,https://en.wiktionary.org/wiki/disposition
rail,рельс,ungraded,WikDict,https://en.wiktionary.org/wiki/rail
cardinal,главный,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
boast,хвастаться,ungraded,WikDict,https://en.wiktionary.org/wiki/boast
advocate,защитник,ungraded,WikDict,https://en.wiktionary.org/wiki/advocate
bestow,вручать,ungraded,WikDict,https://en.wiktionary.org/wiki/bestow
allege,утверждать,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
notwithstanding,вопреки,ungraded,WikDict,https://en.wiktionary.org/wiki/notwithstanding
lofty,возвышенный,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
multitude,масса,ungraded,WikDict,https://en.wiktionary.org/wiki/multitude
steep,крутой,ungraded,WikDict,https://en.wiktionary.org/wiki/steep
heed,внимать,ungraded,WikDict,https://en.wiktionary.org/wiki/heed
modest,скромный,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
partial,частичный,ungraded,WikDict,https://en.wiktionary.org/wiki/partial
apt,подходящий,ungraded,WikDict,https://en.wiktionary.org/wiki/apt
esteem,почтение,ungraded,WikDict,https://en.wiktionary.org/wiki/esteem
credible,правдоподобный,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
provoke,провоцировать,ungraded,WikDict,https://en.wiktionary.org/wiki/provoke
tread,ступать,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
ascertain,установить,ungraded,WikDict,https://en.wiktionary.org/wiki/ascertain
fare,плата за проезд,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
cede,уступать,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
perpetual,вечный,ungraded,WikDict,https://en.wiktionary.org/wiki/perpetual
decree,постановление,ungraded,WikDict,https://en.wiktionary.org/wiki/decree
contrive,замышлять,ungraded,WikDict,https://en.wiktionary.org/wiki/contrive
derived,производный,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
elaborate,доскональный,ungraded,WikDict,https://en.wiktionary.org/wiki/elaborate
substantial,значительный,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
frontier,граница,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
facile,поверхностный,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
cite,цитировать,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
warrant,основание,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
sob,всхлипывать,ungraded,WikDict,https://en.wiktionary.org/wiki/sob
rider,всадник,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
dense,густой,ungraded,WikDict,https://en.wiktionary.org/wiki/dense
afflict,мучать,ungraded,WikDict,https://en.wiktionary.org/wiki/afflict
flourish,процветать,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
ordain,предписывать,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
pious,благочестивый,ungraded,WikDict,https://en.wiktionary.org/wiki/pious
vex,досаждать,ungraded,WikDict,https://en.wiktionary.org/wiki/vex
gravity,серьёзность,ungraded,WikDict,https://en.wiktionary.org/wiki/gravity
suspended,висящий,ungraded,WikDict,https://en.wiktionary.org/wiki/suspended
conspicuous,броский,ungraded,WikDict,https://en.wiktionary.org/wiki/conspicuous
retort,резко отвечать,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
jet,струя,ungraded,WikDict,https://en.wiktionary.org/wiki/jet
bolt,болт,ungraded,WikDict,https://en.wiktionary.org/wiki/bolt
assent,одобрение,ungraded,WikDict,https://en.wiktionary.org/wiki/assent
purse,кошелёк,ungraded,WikDict,https://en.wiktionary.org/wiki/purse
plus,плюс,ungraded,WikDict,https://en.wiktionary.org/wiki/plus
sanction,санкция,ungraded,WikDict,https://en.wiktionary.org/wiki/sanction
proceeding,разбирательство,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
exalt,прославлять,ungraded,WikDict,https://en.wiktionary.org/wiki/exalt
siege,блокада,ungraded,WikDict,https://en.wiktionary.org/wiki/siege
malice,злоба,ungraded,WikDict,https://en.wiktionary.org/wiki/malice
extravagant,непомерный,ungraded,WikDict,https://en.wiktionary.org/wiki/extravagant
wax,увеличиваться,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
throng,куча,ungraded,WikDict,https://en.wiktionary.org/wiki/throng
venerate,преклоняться,ungraded,WikDict,https://en.wiktionary.org/wiki/venerate
assail,напасть,ungraded,WikDict,https://en.wiktionary.org/wiki/assail
sublime,величественный,ungraded,WikDict,https://en.wiktionary.org/wiki/sublime
exploit,пользоваться,ungraded,WikDict,https://en.wiktionary.org/wiki/exploit
exertion,усилие,ungraded,WikDict,https://en.wiktionary.org/wiki/exertion
kindle,зажечь,ungraded,WikDict,https://en.wiktionary.org/wiki/kindle
endow,одаривать,ungraded,WikDict,https://en.wiktionary.org/wiki/endow
imposed,навязанный,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
humiliate,унижать,ungraded,WikDict,https://en.wiktionary.org/wiki/humiliate
suffrage,избирательное право,ungraded,WikDict,https://en.wiktionary.org/wiki/suffrage
ensue,следовать,ungraded,WikDict,https://en.wiktionary.org/wiki/ensue
brook,ручей,ungraded,WikDict,https://en.wiktionary.org/wiki/brook
gale,шторм,ungraded,WikDict,https://en.wiktionary.org/wiki/gale
muse,размышлять,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
satire,сатира,ungraded,WikDict,https://en.wiktionary.org/wiki/satire
intrigue,интрига,ungraded,WikDict,https://en.wiktionary.org/wiki/intrigue
indication,знак,ungraded,WikDict,https://en.wiktionary.org/wiki/indication
dispatch,депеша,ungraded,WikDict,https://en.wiktionary.org/wiki/dispatch
cower,забиться,ungraded,WikDict,https://en.wiktionary.org/wiki/cower
wont,обыкновение,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
tract,участок земли,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
canon,правило,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
impel,побуждать,ungraded,WikDict,https://en.wiktionary.org/wiki/impel
latitude,широта,ungraded,WikDict,https://en.wiktionary.org/wiki/latitude
vacate,освободить,ungraded,WikDict,https://en.wiktionary.org/wiki/vacate
undertaking,начинание,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
slay,убить,ungraded,WikDict,https://en.wiktionary.org/wiki/slay
predecessor,предшественник,ungraded,WikDict,https://en.wiktionary.org/wiki/predecessor
delicacy,утончённость,ungraded,WikDict,https://en.wiktionary.org/wiki/delicacy
forsake,оставить,ungraded,WikDict,https://en.wiktionary.org/wiki/forsake
beseech,умолять,ungraded,WikDict,https://en.wiktionary.org/wiki/beseech
philosophical,философский,ungraded,WikDict,https://en.wiktionary.org/wiki/philosophical
grove,роща,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
frustrate,расстраивать,ungraded,WikDict,https://en.wiktionary.org/wiki/frustrate
illustrious,знаменитый,ungraded,WikDict,https://en.wiktionary.org/wiki/illustrious
device,устройство,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
pomp,пышность,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
entreat,умолять,ungraded,WikDict,https://en.wiktionary.org/wiki/entreat
impart,сообщать,ungraded,WikDict,https://en.wiktionary.org/wiki/impart
propriety,приличие,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
consecrate,освятить,ungraded,WikDict,https://en.wiktionary.org/wiki/consecrate
proceeds,доход,ungraded,WikDict,https://en.wiktionary.org/wiki/proceeds
fathom,постигать,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
objective,цель,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
clad,одетый,ungraded,WikDict,https://en.wiktionary.org/wiki/clad
partisan,сторонник,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
faction,фракция,ungraded,WikDict,https://en.wiktionary.org/wiki/faction
contrived,искусственно созданный,ungraded,WikDict,https://en.wiktionary.org/wiki/contrived
venerable,достопочтенный,ungraded,WikDict,https://en.wiktionary.org/wiki/venerable
restrained,сдержанный,ungraded,WikDict,https://en.wiktionary.org/wiki/restrained
besiege,окружать,ungraded,WikDict,https://en.wiktionary.org/wiki/besiege
manifestation,проявление,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
rebuke,выговор,ungraded,WikDict,https://en.wiktionary.org/wiki/rebuke
insurgent,бунтовщик,ungraded,WikDict,https://en.wiktionary.org/wiki/insurgent
rhetoric,риторика,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
scrupulous,добросовестный,ungraded,WikDict,https://en.wiktionary.org/wiki/scrupulous
ratify,одобрить,ungraded,WikDict,https://en.wiktionary.org/wiki/ratify
stump,ставить в тупик,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
discreet,неброский,ungraded,WikDict,https://en.wiktionary.org/wiki/discreet
imposing,внушительный,ungraded,WikDict,https://en.wiktionary.org/wiki/imposing
wistful,томящийся,ungraded,WikDict,https://en.wiktionary.org/wiki/wistful
mortify,унижать,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
ripple,колебание,ungraded,WikDict,https://en.wiktionary.org/wiki/ripple
premise,посылка,ungraded,WikDict,https://en.wiktionary.org/wiki/premise
subside,униматься,ungraded,WikDict,https://en.wiktionary.org/wiki/subside
adverse,враждебный,ungraded,WikDict,https://en.wiktionary.org/wiki/adverse
caprice,каприз,ungraded,WikDict,https://en.wiktionary.org/wiki/caprice
muster,сбор,ungraded,WikDict,https://en.wiktionary.org/wiki/muster
comprehensive,всеобъемлющий,ungraded,WikDict,https://en.wiktionary.org/wiki/comprehensive
accede,соглашаться,ungraded,WikDict,https://en.wiktionary.org/wiki/accede
fervent,пылкий,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
cohere,образовывать целое,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
tribunal,трибунал,ungraded,WikDict,https://en.wiktionary.org/wiki/tribunal
austere,строгий,ungraded,WikDict,https://en.wiktionary.org/wiki/austere
recovering,выздоравливающий,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
stratum,слой,ungraded,WikDict,https://en.wiktionary.org/wiki/stratum
conscientious,добросовестный,ungraded,WikDict,https://en.wiktionary.org/wiki/conscientious
arbitrary,произвольный,ungraded,WikDict,https://en.wiktionary.org/wiki/arbitrary
exasperate,бесить,ungraded,WikDict,https://en.wiktionary.org/wiki/exasperate
conjure,вызывать,ungraded,WikDict,https://en.wiktionary.org/wiki/conjure
ominous,зловещий,ungraded,WikDict,https://en.wiktionary.org/wiki/ominous
edifice,здание,ungraded,WikDict,https://en.wiktionary.org/wiki/edifice
elude,ускользать,ungraded,WikDict,https://en.wiktionary.org/wiki/elude
pervade,наполнять,ungraded,WikDict,https://en.wiktionary.org/wiki/pervade
foster,способствовать,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
admonish,наставлять,ungraded,WikDict,https://en.wiktionary.org/wiki/admonish
repeal,аннулировать,ungraded,WikDict,https://en.wiktionary.org/wiki/repeal
retiring,застенчивый,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
incidental,эпизодичный,ungraded,WikDict,https://en.wiktionary.org/wiki/incidental
acquiesce,соглашаться,ungraded,WikDict,https://en.wiktionary.org/wiki/acquiesce
slew,масса,ungraded,WikDict,https://en.wiktionary.org/wiki/slew
usurp,присваивать,ungraded,WikDict,https://en.wiktionary.org/wiki/usurp
sentinel,караульный,ungraded,WikDict,https://en.wiktionary.org/wiki/sentinel
precision,точность,ungraded,WikDict,https://en.wiktionary.org/wiki/precision
depose,низлагать,ungraded,WikDict,https://en.wiktionary.org/wiki/depose
wanton,безудержный,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
odium,всеобщая ненависть,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
precept,заповедь,ungraded,WikDict,https://en.wiktionary.org/wiki/precept
deference,почитание,ungraded,WikDict,https://en.wiktionary.org/wiki/deference
fray,борьба,ungraded,WikDict,https://en.wiktionary.org/wiki/fray
candid,беспристрастный,ungraded,WikDict,https://en.wiktionary.org/wiki/candid
enduring,долговечный,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
impertinent,дерзкий,ungraded,WikDict,https://en.wiktionary.org/wiki/impertinent
bland,неинтересный,ungraded,WikDict,https://en.wiktionary.org/wiki/bland
insinuate,намекать,ungraded,WikDict,https://en.wiktionary.org/wiki/insinuate
nominal,номинальный,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
suppliant,просительный,ungraded,WikDict,https://en.wiktionary.org/wiki/suppliant
languid,вялый,ungraded,WikDict,https://en.wiktionary.org/wiki/languid
rave,бредить,ungraded,Vocoby,https://www.vocabulary.com/lists/52473
monetary,валютный,ungraded,WikDict,https://en.wiktionary.org/wiki/monetary
